Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-244.77996931193758,48.91183287808703,0,-5.004514345680988,2.947731038527812,0.016010801251357256
continentAsia,-1.904153931102097,0.4987673632023305,0,-3.8177195854927177,6.884826360844397,0.006770427374716752
year,0.12239396890390317,0.024403010750875944,0,5.0155273934594256,2.992867267967935,0.015349333636673982
bias1,-0.7758228758443132,0.47906836101125105,0,-1.6194408543420649,2.6759443759392947,0.21460023369836623
bias2,-0.7406982128283454,0.9857584163002885,0,-0.751399329268023,3.4615640500996356,0.5002421730631232
