Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-88.41145503875262,61.7901055937458,0,-1.43083515053422,8.617667571157622,0.18772224910675125
continentAsia,0.6140673580158698,0.5536089598995557,0,1.1092077666649096,17.815417387738588,0.2820897529605818
continentEurope,0.057983382706935635,0.7250366043219606,0,0.07997304185925966,20.35668526770435,0.9370396923986228
year,0.042769130137853495,0.03060576608807744,0,1.397420669516073,8.63467868485641,0.19715073068977168
bias1,-0.07010495007424054,0.5511651419946328,0,-0.1271940925373746,19.38646529843367,0.9000968310409729
