term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-67.98373999467876,76.42858853525728,-0.8895066793405085,0.37373083512082284,-217.78102091301386,81.81354092365635
continentAsia,summary,0.015838687428172113,0.6205917632401851,0.025521910483433424,0.9796386721396801,-1.2004988176247986,1.232176192481143
continentEurope,summary,1.329020549746076,0.6931428493099868,1.9173833374593647,0.05518924950019988,-0.029514471042971557,2.6875555705351237
year,summary,0.032571160988514675,0.03787217211113611,0.8600288595260502,0.38977313427706717,-0.04165693236561435,0.1067992543426437
bias1,summary,0.08507180661403334,0.5274092123209214,0.16130132850669338,0.8718560769652143,-0.9486312546496108,1.1187748678776774
