Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-110.32935736315939,40.35987400146751,0,-2.7336397868622617,10.65633779418506,0.019965820954065197
continentAsia,0.41012332885154584,0.5049257057152101,0,0.8122448990205798,19.796506649248858,0.4263110854074569
continentEurope,0.08928032784858159,0.6241600175503003,0,0.14304076733237178,20.882904224158423,0.8876292003737878
year,0.053794882304644936,0.020123334157487172,0,2.6732589084711784,10.763291323172579,0.022036512547537298
bias1,-0.24940352341518413,0.6494587231723971,0,-0.3840175126094667,6.354998831299492,0.7134877576946197
bias2,-0.2908547062084483,0.638793672195612,0,-0.45531870284304016,6.685227936032232,0.6632975346962692
