term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-88.65980966048072,48.47911327836086,-1.828824903446716,0.06742584302002416,-183.6771256885055,6.357506367544062
continentAsia,summary,-1.4722064586648362,0.6273976942677499,-2.3465283218534645,0.01894922601615424,-2.7018833434130975,-0.2425295739165747
continentEurope,summary,-1.5123774843203674,0.6240715353749968,-2.423404046799857,0.015375814588349987,-2.735535217431975,-0.28921975120875976
year,summary,0.04414333476784904,0.02422400077692272,1.8222974468322635,0.06840986539979936,-0.0033348343163897703,0.09162150385208785
bias1,summary,-0.8362908265193564,1.0009563913176307,-0.8354917694451072,0.40344087915737786,-2.798129303597093,1.1255476505583801
bias2,summary,-0.7565536500831217,1.0677320170972475,-0.7085613599373932,0.47859672194864544,-2.849269948734032,1.3361626485677882
