term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-99.85578111009181,59.94415708952303,-1.6658134163261842,0.09575058309225809,-217.34417008916827,17.63260786898465
continentAsia,summary,-0.20377634532432015,0.617989508932978,-0.3297407842346075,0.7415958342770155,-1.4150135256565508,1.0074608350079104
continentEurope,summary,1.7480939940576752,0.6708965291162218,2.6056089399664293,0.009171110378353156,0.433160959636953,3.0630270284783974
year,summary,0.04866801557027933,0.02993374840970718,1.6258577076333294,0.10397992878335773,-0.010001053235029846,0.1073370843755885
bias1,summary,-0.436111634254391,0.9157727028476348,-0.4762225745518326,0.633915818425332,-2.2309931498606557,1.3587698813518738
bias2,summary,-0.638414921206974,0.948146654438687,-0.6733292979712326,0.500737817608085,-2.4967482159689443,1.219918373554996
