term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-257.3140716686237,111.34441947957365,-2.310974118607071,0.02083428450497777,-475.545123728108,-39.08301960913937
continentAsia,summary,-1.984202515197691,0.8231135006041285,-2.4106062089145364,0.01592603355280548,-3.5974753315704704,-0.37092969882491156
year,summary,0.12824891281553405,0.05511186553463314,2.3270653528311516,0.019961787209241688,0.020231641246838836,0.23626618438422925
bias1,summary,0.025843143512405516,0.8693766476989594,0.029726061288632942,0.9762855272001407,-1.6781037749777212,1.7297900620025324
