term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-244.77996931193758,62.21935906902607,-3.93414482203809,8.349343245939487e-5,-366.7276722283942,-122.83226639548093
continentAsia,summary,-1.904153931102097,0.6395921478758795,-2.977137754779974,0.0029095324737816474,-3.157731505733437,-0.650576356470757
year,summary,0.12239396890390317,0.030983739586149518,3.9502645755070906,7.806485102711621e-5,0.061666955208682164,0.18312098259912418
bias1,summary,-0.7758228758443132,0.838336771875567,-0.9254310461756381,0.35474173581181323,-2.4189327556359954,0.8672870039473691
bias2,summary,-0.7406982128283454,0.9793869329527146,-0.756287620251624,0.4494767688780577,-2.66026132834481,1.1788649026881197
