Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-257.3140716686237,152.80034066117227,0,-1.683988861250027,2.7154965289582527,0.20022715870698168
continentAsia,-1.984202515197691,0.7088648597597057,0,-2.799126642940525,5.433838433971338,0.03471529177623588
year,0.12824891281553405,0.07550588031261106,0,1.6985288070883375,2.7107749119698834,0.1976142640715574
bias1,0.025843143512405516,0.9644232361939391,0,0.026796475388123717,5.39914553630872,0.9795846235996859
