Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-67.98373999467876,81.50592390048375,0,-0.8340956919608056,6.158823023638024,0.43537841498667995
continentAsia,0.015838687428172113,0.5363604340859393,0,0.029529932525996748,14.287156062184627,0.9768504918843443
continentEurope,1.329020549746076,0.9680604516632827,0,1.372869377591664,7.615844506867107,0.20885365664549957
year,0.032571160988514675,0.04035508816417164,0,0.80711410804034,6.159134427071079,0.4496379697915619
bias1,0.08507180661403334,0.5995562163142296,0,0.14189129275818715,18.41132278051472,0.8887070068292675
