Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-99.85578111009181,60.82812448655654,0,-1.6416054572282706,8.373887749117722,0.13761009922779296
continentAsia,-0.20377634532432015,0.550194681505166,0,-0.3703713470418321,16.765101725670156,0.7157435650310057
continentEurope,1.7480939940576752,0.9484612238782041,0,1.8430843033411721,8.679183497273536,0.0996503747442888
year,0.04866801557027933,0.030490255586054463,0,1.5961826044035838,8.353730169641866,0.14751633611285062
bias1,-0.436111634254391,1.1983902008513825,0,-0.3639145529933076,4.464402821482547,0.7325114663627645
bias2,-0.638414921206974,1.3077507930134336,0,-0.4881778123306525,4.1975083276319465,0.6498340859991487
