Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-81.42522906359603,72.66517127904706,0,-1.1205537347584142,3.8006231367937806,0.32824627070367585
continentAsia,-1.3984477622676905,0.5667565029759823,0,-2.4674578146427604,17.920134466778336,0.02391578835472332
continentEurope,-1.4753081297136748,0.6476601500558885,0,-2.27790474616412,20.836925771376503,0.03339225316479369
year,0.040167472550509765,0.036016152211541266,0,1.1152627386342016,3.8124843883086865,0.33005730454693066
bias1,-0.11166098621353328,0.5370892562020323,0,-0.20790024176452845,22.482852801703242,0.837178611186753
