term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-81.42522906359603,59.377162543181306,-1.3713223329656505,0.17027449677908196,-197.80232915241209,34.951871025220015
continentAsia,summary,-1.3984477622676905,0.6711919519537127,-2.0835288000654266,0.03720304934935151,-2.7139598148101056,-0.08293570972527542
continentEurope,summary,-1.4753081297136748,0.6404372774775164,-2.3035950304524047,0.02124538707946043,-2.730542127926492,-0.22007413150085764
year,summary,0.040167472550509765,0.029443974513367,1.364200085565028,0.172504601282283,-0.017541657057404805,0.09787660215842434
bias1,summary,-0.11166098621353328,0.5862834224169046,-0.19045564302879342,0.8489520986786808,-1.260755378883549,1.0374334064564823
