term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-110.32935736315939,54.19824697735947,-2.0356628399669066,0.041784222963934615,-216.55596946399078,-4.102745262328014
continentAsia,summary,0.41012332885154584,0.5695728191720947,0.7200542495122618,0.4714915946493775,-0.7062188832987044,1.526465541001796
continentEurope,summary,0.08928032784858159,0.5520797488449286,0.16171636078913515,0.8715292200872118,-0.9927760964813968,1.17133675217856
year,summary,0.053794882304644936,0.027014748022199452,1.991315345989488,0.046446229385033413,8.469491297093679e-4,0.1067428154795805
bias1,summary,-0.24940352341518413,0.7461329498568726,-0.334261505892517,0.7381822353128594,-1.7117972328132842,1.212990185982916
bias2,summary,-0.2908547062084483,0.8031321944221577,-0.3621504756358499,0.7172395858484898,-1.8649648821004974,1.2832554696836007
