term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-88.41145503875262,77.65281371976229,-1.1385479907761835,0.25489173152138234,-240.60817322768446,63.78526315017922
continentAsia,summary,0.6140673580158698,0.6370293807099093,0.9639545311576515,0.3350687224372449,-0.634487285269407,1.8626220013011465
continentEurope,summary,0.057983382706935635,0.6176520188871623,0.09387710382847225,0.9252067819988105,-1.1525923292903555,1.2685590947042267
year,summary,0.042769130137853495,0.03847166380053184,1.11170471751893,0.26626513080624353,-0.032633945336522224,0.11817220561222921
bias1,summary,-0.07010495007424054,0.5376409738796211,-0.13039361484740036,0.8962550180762519,-1.1238618954913375,0.9836519953428564
