Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
intrcpt,-88.65980966048072,55.12316936495964,0,-1.608394631184604,5.185709594427516,0.16657194196584393
continentAsia,-1.4722064586648362,0.5382280298108503,0,-2.7352838892136746,18.9351218559495,0.013174791458346807
continentEurope,-1.5123774843203674,0.6450249889171624,0,-2.344680454720484,20.518597110579456,0.029197439143128095
year,0.04414333476784904,0.02753387385933637,0,1.6032373429676559,5.1939092196866605,0.16760860952654072
bias1,-0.8362908265193564,0.672098238091257,0,-1.244298495550892,4.043488511542854,0.2806434585530939
bias2,-0.7565536500831217,0.68383517430772,0,-1.1063391859727283,4.777426630094939,0.3211528501224048
